id;nombre;rut;fecha_creacion;fecha_modificacion;estado
1;SDD concept Directives;homogeneous generating;2020-06-03T13:08:33;2020-06-03T05:53:54;false
2;Center;Egyptian Pound Buckinghamshire;2020-06-03T10:02:00;2020-06-03T00:31:16;true
3;orange Fresh array;navigate algorithm;2020-06-03T09:15:23;2020-06-03T01:44:58;true
4;Jewelery contingency Clothing;Vermont Money Market Account;2020-06-02T18:33:12;2020-06-03T06:33:48;true
5;Generic;Car Assurance Baby;2020-06-03T05:02:03;2020-06-03T01:51:20;true
6;virtual Vermont;metrics;2020-06-03T03:31:25;2020-06-03T09:21:38;true
7;Cambridgeshire;virtual Front-line Berkshire;2020-06-03T10:28:56;2020-06-02T21:58:13;false
8;Mandatory Borders card;bypassing;2020-06-03T04:31:31;2020-06-03T03:19:28;false
9;Virgin Islands, British;online;2020-06-02T21:45:22;2020-06-02T22:06:12;false
10;Sleek;EXE Frozen Games;2020-06-02T19:07:04;2020-06-03T02:48:40;true
